threshold,fund_a,fund_b,n_crash_days,gap,ci_low,ci_high,prob_gap_positive,distinguishable
q=5%,Combined Min-CVaR,Combined Min-Variance,9,0.0008799433574898407,-0.0007488873114102046,0.0025169389761818335,0.86,False
q=5%,Combined Risk Parity,Combined Min-Variance,9,-0.012295625105374961,-0.015807348143499544,-0.008855141840082566,0.0,True
q=5%,Combined Max-Sharpe,Combined Min-Variance,9,-0.021270075492189473,-0.028187720543141642,-0.014347433070868002,0.0,True
q=5%,Combined Risk Parity,Combined Min-CVaR,9,-0.013175568462864804,-0.016589003720812793,-0.009709874183705827,0.0,True
q=5%,Combined Max-Sharpe,Combined Min-CVaR,9,-0.022150018849679314,-0.029489731489899442,-0.014797044496155523,0.0,True
q=10%,Combined Min-CVaR,Combined Min-Variance,22,-0.000764414479608906,-0.0018976903258416803,0.00037750427409888445,0.097,False
q=10%,Combined Risk Parity,Combined Min-Variance,22,-0.010139640573825201,-0.012047163742566569,-0.008208461736051654,0.0,True
q=10%,Combined Max-Sharpe,Combined Min-Variance,22,-0.017628500632938617,-0.022112220047987154,-0.013239267672204263,0.0,True
q=10%,Combined Risk Parity,Combined Min-CVaR,22,-0.009375226094216295,-0.011642267724405377,-0.007091686109455049,0.0,True
q=10%,Combined Max-Sharpe,Combined Min-CVaR,22,-0.016864086153329714,-0.021705656082309926,-0.012024969713945389,0.0,True
