fund,threshold,n_crash_days,mean_crash,worst_crash,mean_normal,gap
Combined Max-Sharpe,q=5%,9,-0.04066273414524864,-0.05533144602878867,0.0009650056441739349,-0.04162773978942257
Combined Min-Variance,q=5%,9,-0.01939265865305917,-0.031656779003402184,0.0005060681203990983,-0.019898726773458268
Combined Risk Parity,q=5%,9,-0.03168828375843413,-0.042598511731673366,0.0009262499517780625,-0.032614533710212196
Combined Min-CVaR,q=5%,9,-0.01851271529556933,-0.02928504060830408,0.0005557784102472748,-0.019068493705816602
Equity-Only Max-Sharpe,q=5%,9,-0.03262276014788353,-0.042186217094149464,0.000596445374403109,-0.03321920552228664
Equity-Only Min-Variance,q=5%,9,-0.019020462678511388,-0.031482819479054625,0.0004943118251621127,-0.0195147745036735
Equity-Only Risk Parity,q=5%,9,-0.02683121848597935,-0.03713404880554511,0.0007488982479104535,-0.027580116733889805
Equity-Only Min-CVaR,q=5%,9,-0.017810799311772277,-0.029285040608304076,0.0005099415877559823,-0.01832074089952826
Crypto-Only Max-Sharpe,q=5%,9,-0.10103482342997011,-0.14583245085420282,0.003196335469720588,-0.1042311588996907
Crypto-Only Min-Variance,q=5%,9,-0.09556137941941902,-0.1531894587642249,0.00340488311268838,-0.0989662625321074
Crypto-Only Risk Parity,q=5%,9,-0.10003351088253662,-0.14218385090886387,0.002854444223468214,-0.10288795510600483
Crypto-Only Min-CVaR,q=5%,9,-0.10043489643214357,-0.13931041182963816,0.0027609110084427994,-0.10319580744058636
Combined Max-Sharpe,q=10%,22,-0.03206014064646597,-0.05533144602878867,0.0014464058634479084,-0.03350654650991388
Combined Min-Variance,q=10%,22,-0.014431640013527348,-0.031656779003402184,0.0007106386237989035,-0.015142278637326251
Combined Risk Parity,q=10%,22,-0.02457128058735255,-0.042598511731673366,0.0012920705652786969,-0.025863351152631248
Combined Min-CVaR,q=10%,22,-0.015196054493136253,-0.02928504060830408,0.0007950723644498578,-0.01599112685758611
Equity-Only Max-Sharpe,q=10%,22,-0.023052854219818033,-0.042186217094149464,0.0008991974145840742,-0.023952051634402106
Equity-Only Min-Variance,q=10%,22,-0.014176790651620468,-0.031482819479054625,0.0006955858114222431,-0.014872376463042711
Equity-Only Risk Parity,q=10%,22,-0.02043190231591638,-0.03713404880554511,0.001046786841342987,-0.021478689157259367
Equity-Only Min-CVaR,q=10%,22,-0.014206334127859975,-0.029285040608304076,0.0007272759210635019,-0.014933610048923478
Crypto-Only Max-Sharpe,q=10%,23,-0.08159644512916815,-0.14583245085420282,0.004050473464384913,-0.08564691859355307
Crypto-Only Min-Variance,q=10%,23,-0.07851287198279117,-0.1531894587642249,0.004243205479276619,-0.08275607746206778
Crypto-Only Risk Parity,q=10%,23,-0.08338648977423589,-0.17244859528430495,0.0037468913846438676,-0.08713338115887975
Crypto-Only Min-CVaR,q=10%,23,-0.08101010650742752,-0.13931041182963816,0.0036030807433792885,-0.0846131872508068
