fund,family,method,ann_return,ann_vol,sharpe,max_drawdown,growth_of_one,calendar,n_days,turnover_ann,ann_return_0bps,sharpe_0bps,ann_return_10bps,sharpe_10bps,ann_return_20bps,sharpe_20bps,ann_return_50bps,sharpe_50bps
Combined Max-Sharpe,Combined,max_sharpe,0.11780066025691734,0.22685113520159378,0.5192861836562223,-0.3460553898729889,1.316598645423939,252,753,4.091908961850326,0.11780066025691734,0.5192861836562223,0.11347190449734235,0.5003841865661511,0.10914314873776733,0.4814510199735978,0.09615688145904223,0.4244848316500645
Combined Min-Variance,Combined,min_variance,0.0675951526324674,0.12454506492886347,0.5427365000056469,-0.16090075877604004,1.1957822999740535,252,753,2.6251415794512867,0.0675951526324674,0.5427365000056469,0.06469810208678785,0.519649747232555,0.06180105154110833,0.4965147389044165,0.05310989990406968,0.4268654903408149
Combined Risk Parity,Combined,risk_parity,0.13518157157348842,0.16062518812421459,0.8415963470744693,-0.2047529671245648,1.4409794821712516,252,753,0.4889028921954156,0.13518157157348842,0.8415963470744693,0.1343696942484371,0.8365137890591883,0.13355781692338578,0.8314201053510353,0.1311221849482319,0.8160744458184271
Combined Min-CVaR,Combined,min_cvar,0.08262276798152697,0.13369419135843028,0.6179981878196765,-0.17234723768206428,1.2463033874169158,252,753,0.9991242296054729,0.08262276798152697,0.6179981878196765,0.08131286584505946,0.6082827483893639,0.08000296370859199,0.5985492688181726,0.07607325729918951,0.5692480203352057
Equity-Only Max-Sharpe,Equity-Only,max_sharpe,0.05024957548564446,0.1676981745744072,0.29964294848867823,-0.27854029875618747,1.1141400093056584,252,753,3.89276015652037,0.05024957548564446,0.29964294848867823,0.04611520800218832,0.2750539337813356,0.04198084051873218,0.2504382487832772,0.029577738068363762,0.17647560393742548
Equity-Only Min-Variance,Equity-Only,min_variance,0.06578901211305492,0.12435055005160657,0.5290608854223154,-0.15910280530439502,1.1894334860775795,252,753,2.60159109423722,0.06578901211305492,0.5290608854223154,0.0629149490927835,0.5061119946614656,0.06004088607251213,0.4831166430841996,0.05141869701169798,0.4138965170248261
Equity-Only Risk Parity,Equity-Only,risk_parity,0.10565236544227614,0.14611872200776996,0.7230583732908505,-0.18520837508688637,1.3281373790790816,252,753,0.4326048303968122,0.10565236544227614,0.7230583732908505,0.10489544040862188,0.717775786793699,0.10413851537496763,0.71248298094553,0.10186774027400483,0.6965459702230307
Equity-Only Min-CVaR,Equity-Only,min_cvar,0.07332408441712365,0.13117539537898978,0.5589774225972556,-0.17254517792714896,1.2133660864604627,252,753,1.102855284202973,0.07332408441712365,0.5589774225972556,0.07191293085286181,0.5481937292157449,0.07050177728859992,0.5373954892285661,0.06626831659581434,0.5049229550649312
Crypto-Only Max-Sharpe,Crypto-Only,max_sharpe,0.883219270135528,0.7533551252517466,1.1723810465089557,-0.7318302931266387,7.2391693715184795,365,1208,1.8430900305000746,0.883219270135528,1.1723810465089557,0.8810908108917294,1.1695695018995556,0.878962351647931,1.1667566774616687,0.8725769739165355,1.158310612215471
Crypto-Only Min-Variance,Crypto-Only,min_variance,0.9736563655865793,0.7398752354970337,1.3159737194508152,-0.7121659364357336,10.097258959333006,365,1208,2.8525397422078633,0.9736563655865793,1.3159737194508152,0.9705276486400375,1.3117458466513703,0.9673989316934952,1.3075151626334127,0.9580127808538691,1.2948065161484255
Crypto-Only Risk Parity,Crypto-Only,risk_parity,0.7620816345102476,0.7812546163741927,0.9754587282275181,-0.7958759006658394,4.488247395916093,365,1208,0.49055109748621184,0.7620816345102476,0.9754587282275181,0.761293398033682,0.9744614028377997,0.7605051615571166,0.9734635253695615,0.7581404521274205,0.9704665963862172
Crypto-Only Min-CVaR,Crypto-Only,min_cvar,0.7271048463578417,0.7502916338849657,0.9690963000519356,-0.751990709571295,4.341023216000799,365,1208,1.2411043906330739,0.7271048463578417,0.9690963000519356,0.7255728910965936,0.9671027052943696,0.7240409358353455,0.965107807027369,0.7194450700516007,0.9591153562352074
