sector,days_covered,mean_tickers,min_tickers,n_days_single_ticker,pct_days_covered,pct_days_single_ticker
Materials,940,2.842553191489362,1,148,93.43936381709742,15.74468085106383
RealEstate,940,2.974468085106383,1,152,93.43936381709742,16.170212765957448
Utilities,962,3.0997920997921,1,122,95.62624254473161,12.681912681912682
Energy,996,4.263052208835341,1,10,99.00596421471172,1.0040160642570282
Comm,997,3.8174523570712138,1,20,99.10536779324056,2.0060180541624875
Healthcare,997,4.216649949849549,1,7,99.10536779324056,0.7021063189568706
Consumer,998,4.733466933867735,3,0,99.20477137176938,0.0
Financials,998,4.409819639278557,1,1,99.20477137176938,0.10020040080160321
Industrials,998,3.7895791583166334,1,9,99.20477137176938,0.9018036072144289
Tech,1006,4.323061630218688,1,10,100.0,0.9940357852882704
